,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-04-04,89.89600372314453,88.45435028076172,0.9793325650538662,90.41301541086945,86.49568515065398,89.89600372314453,88.45435028076172,0.7947154235839846,120.93666064608708,NEUTRAL
2023-04-05,89.27799987792969,88.59910011291504,0.8642496892717385,90.32759949145851,86.87060073437156,89.27799987792969,88.59910011291504,0.7106904983520508,63.68452151711435,NEUTRAL
2023-04-06,89.30500030517578,88.72760009765625,0.7568913635156324,90.24138282468752,87.21381737062498,89.30500030517578,88.72760009765625,0.6270805358886719,61.38501351093224,NEUTRAL
2023-04-09,89.30599975585938,88.83660011291504,0.6655669388939562,90.16773399070294,87.50546623512713,89.30599975585938,88.83660011291504,0.5514807128906256,56.74415949307903,NEUTRAL
2023-04-10,88.31700134277344,88.84555015563964,0.6568243790720192,90.15919891378368,87.5319013974956,88.31700134277344,88.84555015563964,0.5407406616210949,-65.16356180572285,NEUTRAL
2023-04-11,89.51599884033203,88.91290016174317,0.6528482599094224,90.218596681562,87.60720364192433,89.51599884033203,88.91290016174317,0.5202305221557608,77.28608157395428,NEUTRAL
2023-04-12,90.05999755859375,89.03264999389648,0.6311970924991892,90.29504417889487,87.7702558088981,90.05999755859375,89.03264999389648,0.4766849517822266,143.67946248442504,NEUTRAL
2023-04-13,90.18699645996094,89.16119995117188,0.5878101529020897,90.33682025697605,87.98557964536771,90.18699645996094,89.16119995117188,0.45999984741210936,148.66621000855184,NEUTRAL
2023-04-16,89.90799713134766,89.25949974060059,0.5352273767093477,90.32995449401929,88.18904498718189,89.90799713134766,89.25949974060059,0.4265497970581052,101.35547990249906,NEUTRAL
2023-04-17,89.51100158691406,89.31665000915527,0.494498689843953,90.30564738884317,88.32765262946737,89.51100158691406,89.31665000915527,0.3892146682739252,33.28952608093248,NEUTRAL
2023-04-18,90.02999877929688,89.36834983825683,0.5129196168119973,90.39418907188083,88.34251060463284,90.02999877929688,89.36834983825683,0.40884971618652344,107.8878806963531,NEUTRAL
2023-04-19,90.0979995727539,89.39199981689453,0.5357718059338323,90.4635434287622,88.32045620502686,90.0979995727539,89.39199981689453,0.43249969482421874,108.82470196829786,NEUTRAL
2023-04-20,90.01100158691406,89.44025001525878,0.5463207642021204,90.53289154366303,88.34760848685454,90.01100158691406,89.44025001525878,0.44132465362548884,86.21794514409385,NEUTRAL
2023-04-23,90.08999633789062,89.5184497833252,0.5198621312715256,90.55817404586824,88.47872552078215,90.08999633789062,89.5184497833252,0.42109432220458987,90.48591165563808,NEUTRAL
2023-04-24,90.5199966430664,89.6067497253418,0.5329978651828017,90.6727454557074,88.5407539949762,90.5199966430664,89.6067497253418,0.4339240264892581,140.30826626700812,NEUTRAL
2023-04-25,89.93699645996094,89.65449943542481,0.5166084016978533,90.68771623882051,88.62128263202911,89.93699645996094,89.65449943542481,0.41919898986816406,44.92647984432899,NEUTRAL
2023-04-26,90.22799682617188,89.71314926147461,0.5115253032534669,90.73619986798154,88.69009865496768,90.22799682617188,89.71314926147461,0.41203392028808566,83.30180912246124,NEUTRAL
2023-04-27,90.11900329589844,89.74699935913085,0.5150260240086975,90.77705140714825,88.71694731111346,90.11900329589844,89.74699935913085,0.4119992065429699,60.194927702089366,NEUTRAL
2023-04-30,89.97699737548828,89.79454917907715,0.48815576758167106,90.7708607142405,88.8182376439138,89.97699737548828,89.79454917907715,0.3731842422485343,32.593051144894915,NEUTRAL
